s_id,link_id,start_lon,start_lat,end_lon,end_lat
3250002103_0005,3250002103,127.568868,34.676443,127.568409,34.676385
3250185210_0000,3250185210,127.767365,34.513232,127.767038,34.512872
3250185210_0001,3250185210,127.767038,34.512872,127.766818,34.512465
3250185210_0002,3250185210,127.766818,34.512465,127.766815,34.512425
3250095103_0000,3250095103,127.622699,34.762,127.622161,34.762078
3250095103_0001,3250095103,127.622161,34.762078,127.62164,34.762154
3280010028_0000,3280010028,127.586528,34.955123,127.586359,34.955552
3280010028_0001,3280010028,127.586359,34.955552,127.586191,34.95598
3280010028_0002,3280010028,127.586191,34.95598,127.586101,34.95621
3260002924_0000,3260002924,127.531234,34.893987,127.531475,34.894391
3260002924_0001,3260002924,127.531475,34.894391,127.531719,34.894795
3260002924_0002,3260002924,127.531719,34.894795,127.531791,34.894916
3260002917_0000,3260002917,127.527199,34.876911,127.527152,34.87736
3260002917_0001,3260002917,127.527152,34.87736,127.527081,34.877807
3260002917_0002,3260002917,127.527081,34.877807,127.527046,34.878257
3260002917_0003,3260002917,127.527046,34.878257,127.527041,34.878706
3280202205_0000,3280202205,127.723557,35.063769,127.723748,35.063921
3250119502_0000,3250119502,127.59276,34.770657,127.59223,34.770565
3250119502_0001,3250119502,127.59223,34.770565,127.591687,34.7706
3250119502_0002,3250119502,127.591687,34.7706,127.591155,34.770701
3250119502_0003,3250119502,127.591155,34.770701,127.590652,34.770874
3250119502_0004,3250119502,127.590652,34.770874,127.59016,34.77107
3250119502_0005,3250119502,127.59016,34.77107,127.589667,34.771263
3250119502_0006,3250119502,127.589667,34.771263,127.589171,34.771452
3250119502_0007,3250119502,127.589171,34.771452,127.588674,34.771638
3250119502_0008,3250119502,127.588674,34.771638,127.588578,34.771677
3250002712_0000,3250002712,127.582572,34.70409,127.582952,34.704407
3250002712_0001,3250002712,127.582952,34.704407,127.583248,34.704764
3250002712_0002,3250002712,127.583248,34.704764,127.583256,34.704766
3250005845_0000,3250005845,127.56536,34.724584,127.565013,34.724239
3250005845_0001,3250005845,127.565013,34.724239,127.564797,34.723828
3250005845_0002,3250005845,127.564797,34.723828,127.564762,34.723384
3250005845_0003,3250005845,127.564762,34.723384,127.564764,34.723369
3250005819_0000,3250005819,127.576505,34.716935,127.577017,34.716781
3250005819_0001,3250005819,127.577017,34.716781,127.577533,34.716633
3250005819_0002,3250005819,127.577533,34.716633,127.578064,34.716527
3250005819_0003,3250005819,127.578064,34.716527,127.578607,34.716537
3250005819_0004,3250005819,127.578607,34.716537,127.579137,34.716641
3250005819_0005,3250005819,127.579137,34.716641,127.57966,34.716771
3250005819_0006,3250005819,127.57966,34.716771,127.580129,34.716889
3260001402_0000,3260001402,127.536531,34.858047,127.536613,34.857955
3280519602_0000,3280519602,127.579678,34.961216,127.579535,34.961255
3250185241_0000,3250185241,127.712029,34.53724,127.712482,34.537491
3250185241_0001,3250185241,127.712482,34.537491,127.712934,34.537742
3250185241_0002,3250185241,127.712934,34.537742,127.713332,34.538049
3250185241_0003,3250185241,127.713332,34.538049,127.713729,34.538358
3250185241_0004,3250185241,127.713729,34.538358,127.714146,34.538647
3250185241_0005,3250185241,127.714146,34.538647,127.714626,34.538847
3250185241_0006,3250185241,127.714626,34.538847,127.715153,34.538959
3250185241_0007,3250185241,127.715153,34.538959,127.715635,34.539149
3250185241_0008,3250185241,127.715635,34.539149,127.715804,34.539276
3250185212_0000,3250185212,127.729701,34.548259,127.730136,34.54853
3250185212_0001,3250185212,127.730136,34.54853,127.730562,34.54881
3250185212_0002,3250185212,127.730562,34.54881,127.730944,34.549131
3250185212_0003,3250185212,127.730944,34.549131,127.731184,34.549332
3250016111_0000,3250016111,127.553925,34.825496,127.553564,34.825834
3250016111_0001,3250016111,127.553564,34.825834,127.553315,34.826051
3250005824_0000,3250005824,127.593754,34.743239,127.593235,34.743347
3250005824_0001,3250005824,127.593235,34.743347,127.592712,34.743414
3250005824_0002,3250005824,127.592712,34.743414,127.592641,34.743468
3250002825_0000,3250002825,127.58095,34.691534,127.580936,34.691425
3250185224_0000,3250185224,127.718754,34.54204,127.719134,34.542363
3250185224_0001,3250185224,127.719134,34.542363,127.719514,34.542686
3250185224_0002,3250185224,127.719514,34.542686,127.719911,34.542994
3250185224_0003,3250185224,127.719911,34.542994,127.720399,34.543178
3250185224_0004,3250185224,127.720399,34.543178,127.72091,34.543333
3250185224_0005,3250185224,127.72091,34.543333,127.721384,34.543549
3250185224_0006,3250185224,127.721384,34.543549,127.721779,34.543857
3250185224_0007,3250185224,127.721779,34.543857,127.72216,34.544179
3250185224_0008,3250185224,127.72216,34.544179,127.722244,34.54425
3250185303_0000,3250185303,127.734938,34.550726,127.734415,34.550599
3250185303_0001,3250185303,127.734415,34.550599,127.73389,34.550479
3250185303_0002,3250185303,127.73389,34.550479,127.733364,34.550361
3250185303_0003,3250185303,127.733364,34.550361,127.732838,34.550244
3250185303_0004,3250185303,127.732838,34.550244,127.732314,34.550122
3250185303_0005,3250185303,127.732314,34.550122,127.731952,34.55003
3250002810_0000,3250002810,127.595115,34.709497,127.594985,34.709511
3260016905_0000,3260016905,127.575309,34.933602,127.575262,34.933416
3250016106_0000,3250016106,127.543426,34.838895,127.543359,34.838995
3250001522_0000,3250001522,127.561616,34.670137,127.561626,34.670587
3250001522_0001,3250001522,127.561626,34.670587,127.56163,34.671038
3250001522_0002,3250001522,127.56163,34.671038,127.561671,34.671486
3250001522_0003,3250001522,127.561671,34.671486,127.561703,34.671593
3250005831_0000,3250005831,127.621424,34.736223,127.620951,34.736449
3250005831_0001,3250005831,127.620951,34.736449,127.620478,34.736673
3250005831_0002,3250005831,127.620478,34.736673,127.620007,34.736899
3250005831_0003,3250005831,127.620007,34.736899,127.619835,34.73729
3250013539_0000,3250013539,127.567146,34.793493,127.566811,34.793849
3250013539_0001,3250013539,127.566811,34.793849,127.566476,34.794205
3250013539_0002,3250013539,127.566476,34.794205,127.566146,34.794564
3250013539_0003,3250013539,127.566146,34.794564,127.565816,34.794924
3250013539_0004,3250013539,127.565816,34.794924,127.565481,34.79528
3250013539_0005,3250013539,127.565481,34.79528,127.565145,34.795635
3250013539_0006,3250013539,127.565145,34.795635,127.564809,34.795991
3250013539_0007,3250013539,127.564809,34.795991,127.564691,34.796116
3250013608_0000,3250013608,127.556512,34.815794,127.55653,34.8157
3250013640_0000,3250013640,127.563104,34.798353,127.563296,34.797934
3250013640_0001,3250013640,127.563296,34.797934,127.563533,34.797528
3250013640_0002,3250013640,127.563533,34.797528,127.563769,34.797121
3250013640_0003,3250013640,127.563769,34.797121,127.564005,34.796714
3250013640_0004,3250013640,127.564005,34.796714,127.564314,34.796345
3250013640_0005,3250013640,127.564314,34.796345,127.564587,34.79605
3260003025_0000,3260003025,127.529272,34.888522,127.529059,34.888107
3260003025_0001,3260003025,127.529059,34.888107,127.528874,34.887683
3260003025_0002,3260003025,127.528874,34.887683,127.528711,34.887253
3260003025_0003,3260003025,127.528711,34.887253,127.528562,34.88682
3260003025_0004,3260003025,127.528562,34.88682,127.528423,34.886384
3260003025_0005,3260003025,127.528423,34.886384,127.528291,34.885946
3260003025_0006,3260003025,127.528291,34.885946,127.528151,34.885511
3260003025_0007,3260003025,127.528151,34.885511,127.528001,34.885077
3260003025_0008,3260003025,127.528001,34.885077,127.527894,34.884792
3260078300_0000,3260078300,127.531359,34.9114,127.531688,34.91176
3260078300_0001,3260078300,127.531688,34.91176,127.532014,34.912122
3260078300_0002,3260078300,127.532014,34.912122,127.5323,34.912506
3260078300_0003,3260078300,127.5323,34.912506,127.532587,34.91289
3260078300_0004,3260078300,127.532587,34.91289,127.532863,34.913279
3260078300_0005,3260078300,127.532863,34.913279,127.53289,34.913318
3250119503_0000,3250119503,127.601891,34.770895,127.601382,34.771057
3250119503_0001,3250119503,127.601382,34.771057,127.600871,34.771217
3250119503_0002,3250119503,127.600871,34.771217,127.600355,34.771365
3250119503_0003,3250119503,127.600355,34.771365,127.599837,34.771507
3250119503_0004,3250119503,127.599837,34.771507,127.599307,34.771613
3250119503_0005,3250119503,127.599307,34.771613,127.598773,34.771708
3250119503_0006,3250119503,127.598773,34.771708,127.598237,34.771798
3250119503_0007,3250119503,127.598237,34.771798,127.597707,34.771905
3250119503_0008,3250119503,127.597707,34.771905,127.597172,34.771997
3250119503_0009,3250119503,127.597172,34.771997,127.596772,34.771985
3250013513_0000,3250013513,127.555948,34.824566,127.555824,34.824632
3250010001_0000,3250010001,127.586209,34.772543,127.586338,34.772482
3260003020_0000,3260003020,127.527612,34.88388,127.527465,34.883446
3260003020_0001,3260003020,127.527465,34.883446,127.527317,34.883013
3260003020_0002,3260003020,127.527317,34.883013,127.527181,34.882576
3260003020_0003,3260003020,127.527181,34.882576,127.527091,34.882132
3260003020_0004,3260003020,127.527091,34.882132,127.527038,34.881683
3260003020_0005,3260003020,127.527038,34.881683,127.52701,34.881233
3260003020_0006,3260003020,127.52701,34.881233,127.526995,34.880984
3260079201_0000,3260079201,127.540668,34.916568,127.540151,34.916421
3260079201_0001,3260079201,127.540151,34.916421,127.53982,34.916327
3260003026_0000,3260003026,127.531873,34.902527,127.53218,34.902154
3260003026_0001,3260003026,127.53218,34.902154,127.532473,34.901774
3260003026_0002,3260003026,127.532473,34.901774,127.532724,34.901374
3260003026_0003,3260003026,127.532724,34.901374,127.532911,34.90103
3260236100_0000,3260236100,127.548761,34.920694,127.548237,34.920565
3260236100_0001,3260236100,127.548237,34.920565,127.547705,34.920462
3260236100_0002,3260236100,127.547705,34.920462,127.54716,34.920426
